Content ID,Content Type,Category,Reaction Type,Sentiment,Score,Datetime,,category,sum,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0,11/7/2020 9:43,,Animals,74965,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,negative,10,6/17/2021 12:22,,science,71168,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15,4/18/2021 5:13,,healthy eating,69339,,,TOP 5 CATEGORIES,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0,1/6/2021 19:13,,technology,68738,,,category,sum
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30,8/23/2020 12:25,,food,66676,,,Animals,74965
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35,12/7/2020 6:27,,culture,66579,,,science,71168
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,positive,70,4/11/2021 17:35,,travel,64880,,,healthy eating,69339
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5,1/27/2021 8:32,,cooking,64756,,,technology,68738
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35,4/1/2021 22:54,,soccer,57783,,,food,66676
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,love,positive,65,8/4/2020 5:05,,education,57436,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20,11/7/2020 8:36,,fitness,55323,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15,11/2/2020 6:28,,Studying,54269,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30,11/1/2020 1:16,,dogs,52511,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5,10/7/2020 18:39,,tennis,50339,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15,9/3/2020 18:51,,veganism,49619,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75,2/24/2021 5:09,,public speaking,49264,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35,9/23/2020 6:24,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20,2/24/2021 11:37,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30,5/22/2021 19:44,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,intrigued,positive,45,1/31/2021 16:03,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35,11/20/2020 17:26,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12,4/11/2021 20:47,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,like,positive,50,6/13/2021 16:46,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,heart,positive,60,4/11/2021 14:29,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12,3/2/2021 19:21,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5,6/27/2020 18:44,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5,5/9/2021 21:05,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,positive,70,8/4/2020 23:58,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75,8/28/2020 3:57,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,intrigued,positive,45,8/25/2020 8:21,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15,4/20/2021 23:48,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30,3/7/2021 12:40,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20,5/24/2021 3:21,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75,1/24/2021 11:03,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0,4/9/2021 2:46,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75,2/2/2021 3:43,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30,2/4/2021 3:06,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,negative,10,11/9/2020 2:49,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15,9/29/2020 16:00,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,negative,10,11/29/2020 21:33,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,want,positive,70,2/13/2021 7:54,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30,7/14/2020 5:28,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20,8/23/2020 10:30,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12,5/10/2021 9:27,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5,3/15/2021 3:59,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,dislike,negative,10,6/25/2020 17:01,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,intrigued,positive,45,9/13/2020 0:11,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,neutral,35,8/20/2020 18:17,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,scared,negative,15,2/11/2021 4:53,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,negative,5,3/8/2021 10:40,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,negative,0,3/28/2021 21:15,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,negative,5,5/25/2021 1:00,,,,,,,
